Program "PAW_quantitative_report.py" run on Sun Oct 15 16:01:44 2017

	=SUBTOTAL(109,B5:B4441)													Total	Total	Total	Total	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected
2106	1	sp|Q68FF6|GIT1_MOUSE	 	 	sp|Q3V140|ACRBP_MOUSE, sp|Q68FF6|GIT1_MOUSE, sp|Q9JLQ2|GIT2_MOUSE	 	10.0	770	85299	ARF GTPase-activating protein GIT1 OS=Mus musculus GN=Git1 PE=1 SV=1	9	7	0.778	2	3	1	3	1	2	1	3	1.143	2.222	1.000	3.000
2107	1	sp|Q68FH4|GALK2_MOUSE	 	 	 	 	32.1	458	50503	N-acetylgalactosamine kinase OS=Mus musculus GN=Galk2 PE=1 SV=1	39	39	1.000	11	6	11	11	11	6	11	11	11.000	6.000	11.000	11.000
2108	1	sp|Q68FL4|SAHH3_MOUSE	 	 	sp|P50247|SAHH_MOUSE, sp|Q68FL4|SAHH3_MOUSE, sp|Q80SW1|SAHH2_MOUSE	 	41.1	613	66899	Putative adenosylhomocysteinase 3 OS=Mus musculus GN=Ahcyl2 PE=1 SV=1	140	71	0.507	32	31	41	36	17	16	20	18	25.005	23.917	33.390	29.606
2109	1	sp|Q68FL6|SYMC_MOUSE	 	 	 	 	24.1	902	101429	Methionine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Mars PE=1 SV=1	55	55	1.000	14	11	14	16	14	11	14	16	14.000	11.000	14.000	16.000
2110	1	sp|Q69Z37|SAM9L_MOUSE	 	 	 	 	13.5	1561	180201	Sterile alpha motif domain-containing protein 9-like OS=Mus musculus GN=Samd9l PE=1 SV=2	28	28	1.000	10	3	7	8	10	3	7	8	10.000	3.000	7.000	8.000
2111	1	sp|Q69ZC8|GPAM1_MOUSE	 	 	 	 	11.0	346	38954	GPALPP motifs-containing protein 1 OS=Mus musculus GN=Gpalpp1 PE=1 SV=2	4	4	1.000	0	1	1	2	0	1	1	2	0.000	1.000	1.000	2.000
2112	1	sp|Q69ZN7|MYOF_MOUSE	 	 	sp|Q69ZN7|MYOF_MOUSE, sp|Q9ESD7|DYSF_MOUSE	 	38.9	2048	233321	Myoferlin OS=Mus musculus GN=Myof PE=1 SV=2	165	152	0.921	38	36	44	47	35	33	40	44	37.059	34.980	42.712	46.095
2113	1	sp|Q69ZR2|HECD1_MOUSE	 	 	 	 	5.0	2618	290083	E3 ubiquitin-protein ligase HECTD1 OS=Mus musculus GN=Hectd1 PE=1 SV=2	17	17	1.000	3	4	7	3	3	4	7	3	3.000	4.000	7.000	3.000
2114	1	sp|Q69ZS7|HBS1L_MOUSE	 	 	 	 	8.2	682	75100	HBS1-like protein OS=Mus musculus GN=Hbs1l PE=1 SV=2	9	9	1.000	2	1	3	3	2	1	3	3	2.000	1.000	3.000	3.000
2115	1	sp|Q69ZU6|THS7A_MOUSE	 	 	 	 	1.2	1645	183525	Thrombospondin type-1 domain-containing protein 7A OS=Mus musculus GN=Thsd7a PE=1 SV=2	3	3	1.000	0	1	0	2	0	1	0	2	0.000	1.000	0.000	2.000
2116	1	sp|Q69ZZ9|K0754_MOUSE	 	 	 	 	5.9	979	104638	Uncharacterized protein KIAA0754 OS=Mus musculus GN=Kiaa0754 PE=1 SV=2	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
2117	1	sp|Q6A026|PDS5A_MOUSE	 	 	sp|Q4VA53|PDS5B_MOUSE, sp|Q6A026|PDS5A_MOUSE	 	2.8	1332	150326	Sister chromatid cohesion protein PDS5 homolog A OS=Mus musculus GN=Pds5a PE=1 SV=3	5	2	0.400	1	1	1	2	0	0	0	2	0.000	0.500	0.000	2.000
2118	1	sp|Q6A028|SWP70_MOUSE	 	 	 	 	21.9	585	68995	Switch-associated protein 70 OS=Mus musculus GN=Swap70 PE=1 SV=2	42	42	1.000	13	5	12	12	13	5	12	12	13.000	5.000	12.000	12.000
2119	1	sp|Q6A065|CE170_MOUSE	 	 	 	 	2.8	1588	175048	Centrosomal protein of 170 kDa OS=Mus musculus GN=Cep170 PE=1 SV=2	6	4	0.667	3	2	1	0	2	1	1	0	3.000	2.000	1.000	0.000
2120	1	sp|Q6A068|CDC5L_MOUSE	 	 	 	 	18.3	802	92188	Cell division cycle 5-like protein OS=Mus musculus GN=Cdc5l PE=1 SV=2	19	19	1.000	5	3	7	4	5	3	7	4	5.000	3.000	7.000	4.000
2121	1	sp|Q6A0A2|LAR4B_MOUSE	 	 	 	 	12.3	741	81626	La-related protein 4B OS=Mus musculus GN=Larp4b PE=1 SV=2	14	14	1.000	2	5	5	2	2	5	5	2	2.000	5.000	5.000	2.000
2122	1	sp|Q6A0A9|F120A_MOUSE	 	 	sp|Q6A0A9|F120A_MOUSE, sp|Q8C3F2|F120C_MOUSE	 	14.6	1112	121644	Constitutive coactivator of PPAR-gamma-like protein 1 OS=Mus musculus GN=FAM120A PE=1 SV=2	41	39	0.951	11	10	11	9	10	10	10	9	10.833	10.000	10.769	9.000
2123	1	sp|Q6A4J8|UBP7_MOUSE	 	 	 	 	15.0	1103	128474	Ubiquitin carboxyl-terminal hydrolase 7 OS=Mus musculus GN=Usp7 PE=1 SV=1	33	33	1.000	8	11	7	7	8	11	7	7	8.000	11.000	7.000	7.000
2124	1	sp|Q6AW46|EST5A_MOUSE	 	 	 	 	12.5	575	64166	Carboxylesterase 5A OS=Mus musculus GN=Ces5a PE=2 SV=1	34	34	1.000	3	11	9	11	3	11	9	11	3.000	11.000	9.000	11.000
2125	1	sp|Q6AW69|CGNL1_MOUSE	 	 	sp|P59242|CING_MOUSE, sp|Q6AW69|CGNL1_MOUSE	 	5.6	1298	148229	Cingulin-like protein 1 OS=Mus musculus GN=Cgnl1 PE=1 SV=2	11	9	0.818	4	1	4	2	3	1	4	1	3.750	1.000	4.000	2.000
2126	1	sp|Q6DFW4|NOP58_MOUSE	 	 	 	 	11.6	536	60342	Nucleolar protein 58 OS=Mus musculus GN=Nop58 PE=1 SV=1	7	7	1.000	2	3	1	1	2	3	1	1	2.000	3.000	1.000	1.000
2127	1	sp|Q6DFX2|ANTR2_MOUSE	 	 	 	 	10.1	487	53184	Anthrax toxin receptor 2 OS=Mus musculus GN=Antxr2 PE=1 SV=1	5	5	1.000	0	2	1	2	0	2	1	2	0.000	2.000	1.000	2.000
2128	1	sp|Q6DID7|WLS_MOUSE	 	 	 	 	3.1	541	62188	Protein wntless homolog OS=Mus musculus GN=Wls PE=1 SV=1	4	4	1.000	2	1	1	0	2	1	1	0	2.000	1.000	1.000	0.000
2129	1	sp|Q6DYE8|ENPP3_MOUSE	 	 	 	 	6.3	874	98661	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 OS=Mus musculus GN=Enpp3 PE=1 SV=2	8	8	1.000	2	1	3	2	2	1	3	2	2.000	1.000	3.000	2.000
2130	1	sp|Q6GQT9|NOMO1_MOUSE	 	 	 	 	33.2	1214	133418	Nodal modulator 1 OS=Mus musculus GN=Nomo1 PE=1 SV=1	96	96	1.000	25	24	21	26	25	24	21	26	25.000	24.000	21.000	26.000
2131	1	sp|Q6GU68|ISLR_MOUSE	 	 	 	 	10.5	428	45614	Immunoglobulin superfamily containing leucine-rich repeat protein OS=Mus musculus GN=Islr PE=1 SV=1	5	5	1.000	2	2	1	0	2	2	1	0	2.000	2.000	1.000	0.000
2132	1	sp|Q6GV12|KDSR_MOUSE	 	 	 	 	37.3	332	35955	3-ketodihydrosphingosine reductase OS=Mus musculus GN=Kdsr PE=1 SV=1	33	33	1.000	6	8	10	9	6	8	10	9	6.000	8.000	10.000	9.000
2133	1	sp|Q6IFZ6|K2C1B_MOUSE	 	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE	 	4.9	572	61358	Keratin, type II cytoskeletal 1b OS=Mus musculus GN=Krt77 PE=1 SV=1	16	0	0.000	3	3	6	4	0	0	0	0	0.000	0.000	0.000	0.000
2134	1	sp|Q6IFZ9|K2C74_MOUSE (+1)	sp|Q6IFZ9|K2C74_MOUSE&sp|Q9R0H5|K2C71_MOUSE	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE	 	8.1	495	54746	Keratin, type II cytoskeletal 74 OS=Mus musculus GN=Krt74 PE=3 SV=1	15	0	0.000	3	4	5	3	0	0	0	0	0.000	0.500	0.000	0.000
2135	1	sp|Q6IRU2|TPM4_MOUSE	 	 	sp|P21107|TPM3_MOUSE, sp|P58771|TPM1_MOUSE, sp|P58774|TPM2_MOUSE, sp|Q6IRU2|TPM4_MOUSE	 	50.4	248	28467	Tropomyosin alpha-4 chain OS=Mus musculus GN=Tpm4 PE=1 SV=3	86	79	0.919	24	23	16	23	21	22	14	22	22.751	22.667	15.333	22.786
2136	1	sp|Q6IRU5|CLCB_MOUSE	 	 	 	 	24.5	229	25171	Clathrin light chain B OS=Mus musculus GN=Cltb PE=1 SV=1	29	29	1.000	7	7	8	7	7	7	8	7	7.000	7.000	8.000	7.000
2137	1	sp|Q6NS82|F134A_MOUSE	 	 	 	 	9.8	541	57541	Protein FAM134A OS=Mus musculus GN=Fam134a PE=1 SV=2	5	5	1.000	2	0	2	1	2	0	2	1	2.000	0.000	2.000	1.000
2138	1	sp|Q6NSR8|PEPL1_MOUSE	 	 	 	 	20.2	524	55939	Probable aminopeptidase NPEPL1 OS=Mus musculus GN=Npepl1 PE=1 SV=1	41	41	1.000	9	9	11	12	9	9	11	12	9.000	9.000	11.000	12.000
2139	1	sp|Q6NT99|DUS23_MOUSE	 	 	 	 	20.0	150	16637	Dual specificity protein phosphatase 23 OS=Mus musculus GN=Dusp23 PE=1 SV=1	5	5	1.000	2	0	2	1	2	0	2	1	2.000	0.000	2.000	1.000
2140	1	sp|Q6NVE8|WDR44_MOUSE	 	 	 	 	22.7	915	101554	WD repeat-containing protein 44 OS=Mus musculus GN=Wdr44 PE=1 SV=1	26	26	1.000	5	4	9	8	5	4	9	8	5.000	4.000	9.000	8.000
2141	1	sp|Q6NVF0|OCRL_MOUSE	 	 	 	 	6.4	900	104284	Inositol polyphosphate 5-phosphatase OCRL-1 OS=Mus musculus GN=Ocrl PE=1 SV=1	11	11	1.000	1	5	3	2	1	5	3	2	1.000	5.000	3.000	2.000
2142	1	sp|Q6NVF9|CPSF6_MOUSE	 	 	 	 	7.4	551	59152	Cleavage and polyadenylation specificity factor subunit 6 OS=Mus musculus GN=Cpsf6 PE=1 SV=1	18	18	1.000	5	5	4	4	5	5	4	4	5.000	5.000	4.000	4.000
2143	1	sp|Q6NXH9|K2C73_MOUSE	 	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE	 	8.9	539	58911	Keratin, type II cytoskeletal 73 OS=Mus musculus GN=Krt73 PE=1 SV=1	14	0	0.000	3	5	4	2	0	0	0	0	0.000	0.500	0.000	0.000
2144	1	sp|Q6NXJ0|WWC2_MOUSE	 	 	 	 	7.0	1187	132618	Protein WWC2 OS=Mus musculus GN=Wwc2 PE=1 SV=1	13	13	1.000	5	3	3	2	5	3	3	2	5.000	3.000	3.000	2.000
2145	1	sp|Q6NY15|TSG10_MOUSE	 	 	 	 	8.2	697	81261	Testis-specific gene 10 protein OS=Mus musculus GN=Tsga10 PE=1 SV=1	4	4	1.000	1	3	0	0	1	3	0	0	1.000	3.000	0.000	0.000
2146	1	sp|Q6NZB0|DNJC8_MOUSE	 	 	 	 	35.6	253	29812	DnaJ homolog subfamily C member 8 OS=Mus musculus GN=Dnajc8 PE=1 SV=2	35	35	1.000	6	10	8	11	6	10	8	11	6.000	10.000	8.000	11.000
2147	1	sp|Q6NZC7|S23IP_MOUSE	 	 	 	 	9.8	998	110779	SEC23-interacting protein OS=Mus musculus GN=Sec23ip PE=1 SV=2	38	38	1.000	7	9	12	10	7	9	12	10	7.000	9.000	12.000	10.000
2148	1	sp|Q6NZJ6|IF4G1_MOUSE	 	 	sp|Q6NZJ6|IF4G1_MOUSE, sp|Q80XI3|IF4G3_MOUSE	 	19.9	1600	176075	Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus GN=Eif4g1 PE=1 SV=1	84	77	0.917	24	19	19	22	21	18	17	21	23.739	18.818	18.789	21.875
2149	1	sp|Q6P069|SORCN_MOUSE	 	 	 	 	50.0	198	21627	Sorcin OS=Mus musculus GN=Sri PE=1 SV=1	45	45	1.000	13	11	8	13	13	11	8	13	13.000	11.000	8.000	13.000
2150	1	sp|Q6P1B1|XPP1_MOUSE	 	 	sp|E9Q286|ICE1_MOUSE, sp|Q6P1B1|XPP1_MOUSE	 	35.5	623	69590	Xaa-Pro aminopeptidase 1 OS=Mus musculus GN=Xpnpep1 PE=1 SV=1	87	84	0.966	22	21	22	22	21	21	21	21	21.955	21.000	22.000	22.000
2151	1	sp|Q6P1F6|2ABA_MOUSE	 	 	sp|Q6P1F6|2ABA_MOUSE, sp|Q8BG02|2ABG_MOUSE, sp|Q925E7|2ABD_MOUSE	 	32.9	447	51692	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Mus musculus GN=Ppp2r2a PE=1 SV=1	72	33	0.458	15	17	19	21	8	8	9	8	14.333	17.000	18.200	19.889
2152	1	sp|Q6P2B1|TNPO3_MOUSE	 	 	 	 	6.8	923	104169	Transportin-3 OS=Mus musculus GN=Tnpo3 PE=1 SV=1	10	10	1.000	4	2	0	4	4	2	0	4	4.000	2.000	0.000	4.000
2153	1	sp|Q6P2K6|P4R3A_MOUSE	 	 	 	 	6.2	820	93841	Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Mus musculus GN=Ppp4r3a PE=1 SV=1	8	8	1.000	2	2	2	2	2	2	2	2	2.000	2.000	2.000	2.000
2154	1	sp|Q6P3A8|ODBB_MOUSE	 	 	 	 	20.8	390	42880	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Mus musculus GN=Bckdhb PE=1 SV=2	26	26	1.000	6	7	6	7	6	7	6	7	6.000	7.000	6.000	7.000
2155	1	sp|Q6P3D0|NUD16_MOUSE	 	 	sp|Q6P3D0|NUD16_MOUSE, sp|Q8VHN8|SDOS_MOUSE	 	57.4	195	21825	U8 snoRNA-decapping enzyme OS=Mus musculus GN=Nudt16 PE=1 SV=1	51	47	0.922	13	10	15	13	12	9	14	12	13.000	9.900	14.933	12.923
2156	1	sp|Q6P3E7|HDA10_MOUSE	 	 	 	 	2.7	666	72108	Histone deacetylase 10 OS=Mus musculus GN=Hdac10 PE=2 SV=2	3	3	1.000	1	2	0	0	1	2	0	0	1.000	2.000	0.000	0.000
2157	1	sp|Q6P4S6|SIK3_MOUSE	 	 	sp|Q6P4S6|SIK3_MOUSE, sp|Q8CFH6|SIK2_MOUSE	 	6.8	1311	145782	Serine/threonine-protein kinase SIK3 OS=Mus musculus GN=Sik3 PE=1 SV=3	12	10	0.833	4	3	2	3	3	2	2	3	3.300	2.200	2.000	3.000
2158	1	sp|Q6P4T2|U520_MOUSE	 	 	 	 	10.1	2136	244544	U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Mus musculus GN=Snrnp200 PE=1 SV=1	31	31	1.000	8	8	6	9	8	8	6	9	8.000	8.000	6.000	9.000
2159	1	sp|Q6P542|ABCF1_MOUSE	 	 	 	 	13.4	837	94944	ATP-binding cassette sub-family F member 1 OS=Mus musculus GN=Abcf1 PE=1 SV=1	18	18	1.000	7	1	4	6	7	1	4	6	7.000	1.000	4.000	6.000
2160	1	sp|Q6P549|SHIP2_MOUSE	 	 	sp|Q3TW96|UAP1L_MOUSE, sp|Q6P549|SHIP2_MOUSE, sp|Q9ES52|SHIP1_MOUSE, sp|Q9JHP7|KDEL1_MOUSE	 	4.5	1257	138972	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Mus musculus GN=Inppl1 PE=1 SV=1	10	2	0.200	2	1	4	3	0	0	1	1	0.000	0.000	1.583	1.458
2161	1	sp|Q6P5E4|UGGG1_MOUSE	 	 	 	 	46.1	1551	176431	UDP-glucose:glycoprotein glucosyltransferase 1 OS=Mus musculus GN=Uggt1 PE=1 SV=4	225	225	1.000	50	68	54	53	50	68	54	53	50.000	68.000	54.000	53.000
2162	1	sp|Q6P5E6|GGA2_MOUSE	 	 	sp|Q6P5E6|GGA2_MOUSE, sp|Q8R0H9|GGA1_MOUSE	 	15.4	603	66048	ADP-ribosylation factor-binding protein GGA2 OS=Mus musculus GN=Gga2 PE=1 SV=1	10	8	0.800	1	3	4	2	1	2	3	2	1.000	2.154	3.015	2.000
2163	1	sp|Q6P5F9|XPO1_MOUSE	 	 	 	 	17.6	1071	123091	Exportin-1 OS=Mus musculus GN=Xpo1 PE=1 SV=1	51	51	1.000	12	13	13	13	12	13	13	13	12.000	13.000	13.000	13.000
2164	1	sp|Q6P5G6|UBXN7_MOUSE	 	 	 	 	6.6	467	52164	UBX domain-containing protein 7 OS=Mus musculus GN=Ubxn7 PE=1 SV=2	3	3	1.000	0	1	2	0	0	1	2	0	0.000	1.000	2.000	0.000
2165	1	sp|Q6P5H2|NEST_MOUSE	 	 	 	 	12.8	1864	207122	Nestin OS=Mus musculus GN=Nes PE=1 SV=1	34	34	1.000	12	7	7	8	12	7	7	8	12.000	7.000	7.000	8.000
2166	1	sp|Q6P6M7|SPCS_MOUSE	 	 	 	 	13.3	504	55325	O-phosphoseryl-tRNA(Sec) selenium transferase OS=Mus musculus GN=Sepsecs PE=1 SV=2	22	22	1.000	8	6	5	3	8	6	5	3	8.000	6.000	5.000	3.000
2167	1	sp|Q6P8I4|PCNP_MOUSE	 	 	 	 	14.0	178	18963	PEST proteolytic signal-containing nuclear protein OS=Mus musculus GN=Pcnp PE=1 SV=1	6	6	1.000	1	2	2	1	1	2	2	1	1.000	2.000	2.000	1.000
2168	1	sp|Q6P8J2|SAT2_MOUSE	 	 	REV_Q9EPU4, sp|Q6P8J2|SAT2_MOUSE	 	23.5	170	19305	Diamine acetyltransferase 2 OS=Mus musculus GN=Sat2 PE=1 SV=1	15	12	0.800	2	3	6	4	2	2	5	3	2.000	2.667	6.000	4.000
2169	1	sp|Q6P8M1|TATD1_MOUSE	 	 	 	 	37.6	295	33365	Putative deoxyribonuclease TATDN1 OS=Mus musculus GN=Tatdn1 PE=1 SV=1	38	38	1.000	7	10	11	10	7	10	11	10	7.000	10.000	11.000	10.000
2170	1	sp|Q6P8U6|LIPP_MOUSE	 	 	 	 	43.4	465	51427	Pancreatic triacylglycerol lipase OS=Mus musculus GN=Pnlip PE=1 SV=1	54	54	1.000	5	25	13	11	5	25	13	11	5.000	25.000	13.000	11.000
2171	1	sp|Q6P8X1|SNX6_MOUSE	 	 	sp|Q6P8X1|SNX6_MOUSE, sp|Q9D8U8|SNX5_MOUSE	 	41.4	406	46648	Sorting nexin-6 OS=Mus musculus GN=Snx6 PE=1 SV=2	50	49	0.980	16	12	11	11	15	12	11	11	15.517	12.000	11.000	11.000
2172	1	sp|Q6P9J9|ANO6_MOUSE	 	 	 	 	13.2	911	106254	Anoctamin-6 OS=Mus musculus GN=Ano6 PE=1 SV=1	21	21	1.000	6	3	7	5	6	3	7	5	6.000	3.000	7.000	5.000
2173	1	sp|Q6P9N1|HYCCI_MOUSE	 	 	 	 	6.5	521	57321	Hyccin OS=Mus musculus GN=Fam126a PE=1 SV=3	8	8	1.000	1	1	3	3	1	1	3	3	1.000	1.000	3.000	3.000
2174	1	sp|Q6P9Q4|FHOD1_MOUSE	 	 	 	 	19.0	1197	129599	FH1/FH2 domain-containing protein 1 OS=Mus musculus GN=Fhod1 PE=1 SV=3	24	24	1.000	7	4	5	8	7	4	5	8	7.000	4.000	5.000	8.000
2175	1	sp|Q6P9Q6|FKB15_MOUSE	 	 	 	 	16.4	1216	132959	FK506-binding protein 15 OS=Mus musculus GN=Fkbp15 PE=1 SV=2	33	33	1.000	10	8	8	7	10	8	8	7	10.000	8.000	8.000	7.000
2176	1	sp|Q6P9R2|OXSR1_MOUSE	 	 	sp|Q6P9R2|OXSR1_MOUSE, sp|Q9Z1W9|STK39_MOUSE	 	29.8	527	58213	Serine/threonine-protein kinase OSR1 OS=Mus musculus GN=Oxsr1 PE=1 SV=1	47	37	0.787	16	9	10	12	12	7	7	11	15.000	8.750	9.100	11.917
2177	1	sp|Q6PA06|ATLA2_MOUSE	 	 	 	 	12.2	583	66223	Atlastin-2 OS=Mus musculus GN=Atl2 PE=1 SV=1	16	16	1.000	4	3	3	6	4	3	3	6	4.000	3.000	3.000	6.000
2178	1	sp|Q6PAJ1|BCR_MOUSE	 	 	 	 	2.6	1270	143070	Breakpoint cluster region protein OS=Mus musculus GN=Bcr PE=1 SV=3	4	4	1.000	1	1	2	0	1	1	2	0	1.000	1.000	2.000	0.000
2179	1	sp|Q6PAM0|AAKB2_MOUSE	 	 	sp|Q6PAM0|AAKB2_MOUSE, sp|Q9R078|AAKB1_MOUSE	 	7.7	271	30209	5'-AMP-activated protein kinase subunit beta-2 OS=Mus musculus GN=Prkab2 PE=1 SV=1	5	4	0.800	1	2	0	2	1	1	0	2	1.000	2.000	0.000	2.000
2180	1	sp|Q6PAM1|TXLNA_MOUSE	 	 	 	 	15.9	554	62368	Alpha-taxilin OS=Mus musculus GN=Txlna PE=1 SV=1	18	18	1.000	6	2	6	4	6	2	6	4	6.000	2.000	6.000	4.000
2181	1	sp|Q6PAR5|GAPD1_MOUSE	 	 	 	 	3.6	1458	162400	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Mus musculus GN=Gapvd1 PE=1 SV=2	9	9	1.000	3	4	2	0	3	4	2	0	3.000	4.000	2.000	0.000
2182	1	sp|Q6PAV2|HERC4_MOUSE	 	 	 	 	16.5	1057	118410	Probable E3 ubiquitin-protein ligase HERC4 OS=Mus musculus GN=Herc4 PE=1 SV=2	30	30	1.000	7	7	7	9	7	7	7	9	7.000	7.000	7.000	9.000
2183	1	sp|Q6PB44|PTN23_MOUSE	 	 	 	 	12.8	1692	185214	Tyrosine-protein phosphatase non-receptor type 23 OS=Mus musculus GN=Ptpn23 PE=1 SV=2	33	33	1.000	8	7	8	10	8	7	8	10	8.000	7.000	8.000	10.000
2184	1	sp|Q6PB66|LPPRC_MOUSE	 	 	 	 	32.0	1392	156613	Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus GN=Lrpprc PE=1 SV=2	135	135	1.000	33	36	35	31	33	36	35	31	33.000	36.000	35.000	31.000
2185	1	sp|Q6PB93|GALT2_MOUSE	 	 	 	 	29.1	570	64514	Polypeptide N-acetylgalactosaminyltransferase 2 OS=Mus musculus GN=Galnt2 PE=1 SV=1	29	29	1.000	7	7	8	7	7	7	8	7	7.000	7.000	8.000	7.000
2186	1	sp|Q6PD03|2A5A_MOUSE	 	 	 	 	23.7	486	56346	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform OS=Mus musculus GN=Ppp2r5a PE=1 SV=1	58	58	1.000	14	17	16	11	14	17	16	11	14.000	17.000	16.000	11.000
2187	1	sp|Q6PD19|CJ076_MOUSE	 	 	 	 	4.2	689	78631	UPF0668 protein C10orf76 homolog OS=Mus musculus PE=1 SV=2	10	10	1.000	3	3	3	1	3	3	3	1	3.000	3.000	3.000	1.000
2188	1	sp|Q6PD28|2A5B_MOUSE	 	 	sp|Q61151|2A5E_MOUSE, sp|Q6PD28|2A5B_MOUSE	 	9.5	497	57342	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform OS=Mus musculus GN=Ppp2r5b PE=1 SV=1	8	7	0.875	1	1	5	1	1	1	4	1	1.000	1.000	4.444	1.000
2189	1	sp|Q6PDG5|SMRC2_MOUSE	 	 	 	 	20.1	1213	132602	SWI/SNF complex subunit SMARCC2 OS=Mus musculus GN=Smarcc2 PE=1 SV=2	37	37	1.000	11	5	14	7	11	5	14	7	11.000	5.000	14.000	7.000
2190	1	sp|Q6PDH0|PHLB1_MOUSE	 	 	 	 	21.4	1371	150069	Pleckstrin homology-like domain family B member 1 OS=Mus musculus GN=Phldb1 PE=1 SV=1	74	74	1.000	19	17	19	19	19	17	19	19	19.000	17.000	19.000	19.000
2191	1	sp|Q6PDI5|ECM29_MOUSE	 	 	 	 	14.3	1840	203701	Proteasome-associated protein ECM29 homolog OS=Mus musculus GN=Ecm29 PE=1 SV=3	46	46	1.000	12	8	13	13	12	8	13	13	12.000	8.000	13.000	13.000
2192	1	sp|Q6PDI6|FA63B_MOUSE	 	 	 	 	4.8	601	65636	Ubiquitin carboxyl-terminal hydrolase MINDY-2 OS=Mus musculus GN=Fam63b PE=1 SV=1	3	3	1.000	2	0	1	0	2	0	1	0	2.000	0.000	1.000	0.000
2193	1	sp|Q6PDJ1|CAHD1_MOUSE	 	 	 	 	3.8	1288	143811	VWFA and cache domain-containing protein 1 OS=Mus musculus GN=Cachd1 PE=2 SV=1	8	8	1.000	1	2	3	2	1	2	3	2	1.000	2.000	3.000	2.000
2194	1	sp|Q6PDL0|DC1L2_MOUSE	 	 	 	 	38.4	492	54218	Cytoplasmic dynein 1 light intermediate chain 2 OS=Mus musculus GN=Dync1li2 PE=1 SV=2	62	62	1.000	16	19	14	13	16	19	14	13	16.000	19.000	14.000	13.000
